,"Bertelsmeyer Hall, Rolla, MO","Butler-Carlton Hall, Rolla, MO","Castleman Hall, Rolla, MO","Computer Science Building, Rolla, MO","Emerson Hall, Rolla, MO","Engineering Management Building, Rolla, MO","Applied Research Center, Rolla, MO","Fulton Hall, Rolla, MO","Harris Hall, Rolla, MO","Innovation Lab, Rolla, MO","Physics Building, Rolla, MO","Humanities & Social Sciences, Rolla, MO","1400 North Bishop Avenue, Rolla, MO","Norwood Hall, Rolla, MO","Parker Hall, Rolla, MO","Rolla Building, Rolla, MO","Schrenk Hall, Rolla, MO","Toomey Hall, Rolla, MO","Straumanis-James Hall, Rolla, MO","Interdisciplinary Engineering Building, Rolla, MO","Curtis Laws-Wilson Library, Rolla, MO"
"Bertelsmeyer Hall, Rolla, MO",0,639,224,521,620,456,657,458,353,314,534,412,497,382,396,264,216,312,542,482,479
"Butler-Carlton Hall, Rolla, MO",659,0,539,298,87,335,280,197,327,473,259,250,436,328,269,375,433,322,288,294,209
"Castleman Hall, Rolla, MO",224,539,0,570,520,519,620,338,377,435,414,433,623,262,276,199,96,323,569,362,410
"Computer Science Building, Rolla, MO",521,298,569,0,212,113,198,232,229,342,387,160,187,373,301,365,463,275,51,405,203
"Emerson Hall, Rolla, MO",639,87,520,212,0,286,204,178,308,454,263,230,370,324,250,356,413,302,202,297,190
"Engineering Management Building, Rolla, MO",456,335,518,113,286,0,272,181,164,277,336,95,93,322,250,300,412,210,134,354,152
"Applied Research Center, Rolla, MO",657,280,619,198,204,272,0,282,365,478,402,270,355,423,351,440,513,376,188,437,253
"Fulton Hall, Rolla, MO",458,197,338,232,178,181,282,0,174,320,165,96,282,143,69,175,232,136,231,173,69
"Harris Hall, Rolla, MO",353,327,377,229,308,164,365,174,0,174,294,120,252,251,189,135,270,46,251,302,167
"Innovation Lab, Rolla, MO",314,473,435,342,454,277,478,320,174,0,420,233,321,332,315,217,352,171,363,427,300
"Physics Building, Rolla, MO",534,259,414,387,263,336,403,165,295,420,0,250,436,177,138,268,308,249,386,143,210
"Humanities & Social Sciences, Rolla, MO",412,250,433,160,230,95,270,96,120,233,250,0,195,237,165,254,327,166,181,269,67
"1400 North Bishop Avenue, Rolla, MO",497,436,619,187,370,93,355,282,239,321,436,195,0,423,351,381,513,291,208,455,253
"Norwood Hall, Rolla, MO",382,328,262,373,324,322,423,143,251,332,177,237,423,0,52,115,156,197,372,114,214
"Parker Hall, Rolla, MO",396,269,276,301,250,250,351,69,190,315,138,165,351,52,0,130,170,144,300,98,140
"Rolla Building, Rolla, MO",264,375,199,365,356,300,440,175,135,217,268,254,381,115,130,0,93,81,386,216,237
"Schrenk Hall, Rolla, MO",216,433,96,464,413,413,513,232,270,352,308,327,516,156,170,93,0,216,462,256,304
"Toomey Hall, Rolla, MO",312,321,323,275,302,210,376,137,46,171,249,166,291,197,144,81,216,0,296,256,172
"Straumanis-James Hall, Rolla, MO",541,288,568,49,202,133,188,231,249,362,386,180,207,372,300,390,462,295,0,404,202
"Interdisciplinary Engineering Building, Rolla, MO",482,294,362,405,297,354,438,173,302,428,143,269,455,114,98,216,256,256,404,0,244
"Curtis Laws-Wilson Library, Rolla, MO",479,209,410,203,190,152,253,69,167,300,210,67,253,214,140,237,304,172,202,244,0
