,"Bertelsmeyer Hall, Rolla, MO","Butler-Carlton Hall, Rolla, MO","Castleman Hall, Rolla, MO","Computer Science Building, Rolla, MO","Emerson Hall, Rolla, MO","Engineering Management Building, Rolla, MO","Applied Research Center, Rolla, MO","Fulton Hall, Rolla, MO","Harris Hall, Rolla, MO","Innovation Lab, Rolla, MO","Physics Building, Rolla, MO","Humanities & Social Sciences, Rolla, MO","1400 North Bishop Avenue, Rolla, MO","Norwood Hall, Rolla, MO","Parker Hall, Rolla, MO","Rolla Building, Rolla, MO","Schrenk Hall, Rolla, MO","Toomey Hall, Rolla, MO","Straumanis-James Hall, Rolla, MO","Interdisciplinary Engineering Building, Rolla, MO","Curtis Laws-Wilson Library, Rolla, MO"
"Bertelsmeyer Hall, Rolla, MO",0,540,191,457,528,398,566,393,306,262,440,358,429,329,340,237,189,274,473,402,410
"Butler-Carlton Hall, Rolla, MO",510,0,420,257,73,279,245,161,261,368,203,204,375,271,217,300,339,267,249,228,170
"Castleman Hall, Rolla, MO",176,447,0,487,434,441,529,289,320,355,335,366,523,225,236,174,85,274,488,297,346
"Computer Science Building, Rolla, MO",390,224,431,0,157,84,159,175,169,249,292,117,160,285,229,281,349,208,40,297,151
"Emerson Hall, Rolla, MO",493,68,402,185,0,237,178,143,243,350,203,187,320,257,199,282,321,249,177,228,153
"Engineering Management Building, Rolla, MO",343,259,395,97,223,0,225,139,122,202,256,70,90,249,193,234,313,161,113,261,115
"Applied Research Center, Rolla, MO",502,219,475,164,155,216,0,219,281,361,309,210,300,329,273,342,393,295,156,334,195
"Fulton Hall, Rolla, MO",347,155,257,199,142,153,241,0,135,242,119,79,250,111,54,137,175,115,200,122,55
"Harris Hall, Rolla, MO",270,264,296,200,251,141,309,144,0,130,229,100,207,206,157,112,215,39,216,232,138
"Innovation Lab, Rolla, MO",248,393,355,302,380,243,411,273,151,0,341,202,274,286,270,192,295,151,318,344,255
"Physics Building, Rolla, MO",427,223,337,341,229,295,355,152,263,354,0,220,391,157,126,229,256,224,342,114,187
"Humanities & Social Sciences, Rolla, MO",313,197,332,140,184,81,230,77,93,172,194,0,178,187,130,199,251,131,156,199,53
"1400 North Bishop Avenue, Rolla, MO",391,359,494,174,307,93,309,239,205,251,356,170,0,349,292,314,413,240,190,361,215
"Norwood Hall, Rolla, MO",289,264,199,316,263,270,358,118,203,264,130,196,367,0,42,91,118,157,317,83,176
"Parker Hall, Rolla, MO",302,213,212,254,200,208,296,55,160,251,99,134,305,41,0,104,130,121,255,70,113
"Rolla Building, Rolla, MO",198,304,150,311,291,252,372,146,111,172,204,209,315,94,105,0,68,66,327,166,195
"Schrenk Hall, Rolla, MO",164,353,74,393,340,347,435,195,226,287,241,273,429,131,142,81,0,180,394,203,253
"Toomey Hall, Rolla, MO",236,259,251,239,246,180,318,114,39,130,190,139,242,160,119,67,169,0,255,193,141
"Straumanis-James Hall, Rolla, MO",405,215,428,39,148,99,150,172,184,264,289,132,175,282,226,295,346,223,0,294,148
"Interdisciplinary Engineering Building, Rolla, MO",388,251,298,357,257,311,383,158,269,360,117,237,408,108,95,190,216,230,358,0,215
"Curtis Laws-Wilson Library, Rolla, MO",367,165,314,174,152,128,216,55,129,226,162,54,225,169,111,186,233,139,175,180,0
